"condition","cell_type","slice_id","field","hemisphere","field_index","replicate","count","session","session_group","Animal","Group","SliceID","var"
"Lesioned","NDNF+","L3.ST6d","L3.ST6d.L_60x04","L",4,2,28,"L3.ST6","L3.ST6","L3","6OHDA","L3.ST6d",28
"Lesioned","NDNF+","L3.ST6d","L3.ST6d.L_60x04","L",4,3,8,"L3.ST6","L3.ST6","L3","6OHDA","L3.ST6d",8
"Lesioned","NDNF+","L3.ST6d","L3.ST6d.L_60x04","L",4,4,22,"L3.ST6","L3.ST6","L3","6OHDA","L3.ST6d",22
"Lesioned","NDNF+","L3.ST6d","L3.ST6d.L_60x05","L",5,1,19,"L3.ST6","L3.ST6","L3","6OHDA","L3.ST6d",19
"Lesioned","NDNF+","L3.ST6d","L3.ST6d.L_60x05","L",5,2,9,"L3.ST6","L3.ST6","L3","6OHDA","L3.ST6d",9
"Lesioned","NDNF+","L4.ST8.C","L4.ST8.C.L_60x01","L",1,1,25,"L4.ST8","L4.ST8","L4","6OHDA","L4.ST8.C",25
"Lesioned","NDNF+","L4.ST8.C","L4.ST8.C.L_60x01","L",1,2,15,"L4.ST8","L4.ST8","L4","6OHDA","L4.ST8.C",15
"Lesioned","NDNF+","L4.ST8.C","L4.ST8.C.L_60x01","L",1,3,10,"L4.ST8","L4.ST8","L4","6OHDA","L4.ST8.C",10
"Lesioned","NDNF+","L4.ST8.C","L4.ST8.C.L_60x01","L",1,4,34,"L4.ST8","L4.ST8","L4","6OHDA","L4.ST8.C",34
"Lesioned","NDNF+","L4.ST8.C","L4.ST8.C.L_60x02","L",2,1,11,"L4.ST8","L4.ST8","L4","6OHDA","L4.ST8.C",11
"Lesioned","NDNF+","L4.ST8.C","L4.ST8.C.L_60x02","L",2,2,19,"L4.ST8","L4.ST8","L4","6OHDA","L4.ST8.C",19
"Lesioned","NDNF+","L4.ST8.C","L4.ST8.C.L_60x03","L",3,1,14,"L4.ST8","L4.ST8","L4","6OHDA","L4.ST8.C",14
"Lesioned","NDNF+","L4.ST8.C","L4.ST8.C.L_60x03","L",3,2,29,"L4.ST8","L4.ST8","L4","6OHDA","L4.ST8.C",29
"Lesioned","NDNF+","L4.ST8.C","L4.ST8.C.L_60x03","L",3,3,15,"L4.ST8","L4.ST8","L4","6OHDA","L4.ST8.C",15
"Lesioned","NDNF+","L4.ST8.C","L4.ST8.C.L_60x04","L",4,1,32,"L4.ST8","L4.ST8","L4","6OHDA","L4.ST8.C",32
"Lesioned","NDNF+","L4.ST8.C","L4.ST8.C.L_60x04","L",4,2,23,"L4.ST8","L4.ST8","L4","6OHDA","L4.ST8.C",23
"Lesioned","NDNF+","L4.ST8.C","L4.ST8.C.L_60x04","L",4,3,24,"L4.ST8","L4.ST8","L4","6OHDA","L4.ST8.C",24
"Lesioned","NDNF+","L4.ST8.C","L4.ST8.C.L_60x04","L",4,4,27,"L4.ST8","L4.ST8","L4","6OHDA","L4.ST8.C",27
"Lesioned","NDNF+","L4.ST8.C","L4.ST8.C.L_60x05","L",5,1,34,"L4.ST8","L4.ST8","L4","6OHDA","L4.ST8.C",34
"Lesioned","NDNF+","L4.ST8.C","L4.ST8.C.L_60x05","L",5,2,31,"L4.ST8","L4.ST8","L4","6OHDA","L4.ST8.C",31
"Lesioned","NDNF+","L4.ST8.C","L4.ST8.C.L_60x05","L",5,3,25,"L4.ST8","L4.ST8","L4","6OHDA","L4.ST8.C",25
"Lesioned","NDNF+","L4.ST8.C","L4.ST8.C.L_60x05","L",5,4,35,"L4.ST8","L4.ST8","L4","6OHDA","L4.ST8.C",35
"Lesioned","NDNF+","L4.ST8.C","L4.ST8.C.L_60x06","L",6,1,22,"L4.ST8","L4.ST8","L4","6OHDA","L4.ST8.C",22
"Lesioned","NDNF+","L4.ST8.C","L4.ST8.C.L_60x06","L",6,2,18,"L4.ST8","L4.ST8","L4","6OHDA","L4.ST8.C",18
"Lesioned","NDNF+","L4.ST8.C","L4.ST8.C.L_60x07","L",7,1,20,"L4.ST8","L4.ST8","L4","6OHDA","L4.ST8.C",20
"Lesioned","NDNF+","L4.ST8.C","L4.ST8.C.L_60x07","L",7,2,31,"L4.ST8","L4.ST8","L4","6OHDA","L4.ST8.C",31
"Lesioned","NDNF+","L4.ST8.C","L4.ST8.C.L_60x08","L",8,1,34,"L4.ST8","L4.ST8","L4","6OHDA","L4.ST8.C",34
"Lesioned","NDNF+","L4.ST8.C","L4.ST8.C.L_60x08","L",8,2,33,"L4.ST8","L4.ST8","L4","6OHDA","L4.ST8.C",33
